parentPostUrl,authorName,authorUrl,text,timestamp,likes,commentUrl,postUrl,postId,text_post,timestamp_post,replies_post,reposts_post,likes_post,views_post,authorName_post,authorUrl_post,scrapedAt,postTimestamp
https://x.com/Benioff/status/2007699154743759087,Paramendra Kumar Bhagat,https://x.com/paramendra,Who is Paul Benioff?,2026-01-04T21:30:45.000Z,0,https://x.com/paramendra/status/2007927705594101952,https://x.com/Benioff/status/2007699154743759087,2007699154743759087,"A beautiful and well earned tribute to Paul Benioff, a quiet pioneer whose foundational work helped shape Quantum long before the world noticed. Worth reading for anyone looking into the history of Quantum. 
https://
quantumzeitgeist.substack.com/p/the-quiet-re
volutionary-how-paul
…",2026-01-04T06:22:34.000Z,11,22,112,28282,Marc Benioff,https://x.com/Benioff,2026-03-30T11:13:07.248Z,2026-01-04T06-22-34-000Z_2007699154743759087
https://x.com/Benioff/status/2007699154743759087,gregs mom,https://x.com/greggoriesmom,is paul your son,2026-01-04T06:24:11.000Z,3,https://x.com/greggoriesmom/status/2007699563981983830,https://x.com/Benioff/status/2007699154743759087,2007699154743759087,"A beautiful and well earned tribute to Paul Benioff, a quiet pioneer whose foundational work helped shape Quantum long before the world noticed. Worth reading for anyone looking into the history of Quantum. 
https://
quantumzeitgeist.substack.com/p/the-quiet-re
volutionary-how-paul
…",2026-01-04T06:22:34.000Z,11,22,112,28282,Marc Benioff,https://x.com/Benioff,2026-03-30T11:13:07.248Z,2026-01-04T06-22-34-000Z_2007699154743759087
https://x.com/Benioff/status/2007699154743759087,david sokolan,https://x.com/DavidRSokolan,,2026-01-06T06:14:06.000Z,2,https://x.com/DavidRSokolan/status/2008421800414507133,https://x.com/Benioff/status/2007699154743759087,2007699154743759087,"A beautiful and well earned tribute to Paul Benioff, a quiet pioneer whose foundational work helped shape Quantum long before the world noticed. Worth reading for anyone looking into the history of Quantum. 
https://
quantumzeitgeist.substack.com/p/the-quiet-re
volutionary-how-paul
…",2026-01-04T06:22:34.000Z,11,22,112,28282,Marc Benioff,https://x.com/Benioff,2026-03-30T11:13:07.248Z,2026-01-04T06-22-34-000Z_2007699154743759087
https://x.com/Benioff/status/2007699154743759087,apex3141592653,https://x.com/apex3141592653,This is incredible. What an amazing guy. Thanks for sharing this story.,2026-01-05T07:06:26.000Z,0,https://x.com/apex3141592653/status/2008072584110440584,https://x.com/Benioff/status/2007699154743759087,2007699154743759087,"A beautiful and well earned tribute to Paul Benioff, a quiet pioneer whose foundational work helped shape Quantum long before the world noticed. Worth reading for anyone looking into the history of Quantum. 
https://
quantumzeitgeist.substack.com/p/the-quiet-re
volutionary-how-paul
…",2026-01-04T06:22:34.000Z,11,22,112,28282,Marc Benioff,https://x.com/Benioff,2026-03-30T11:13:07.248Z,2026-01-04T06-22-34-000Z_2007699154743759087
https://x.com/Benioff/status/2007699154743759087,chainlinkmarine.eth,https://x.com/ChrisKoucheki,Well said. It’s striking how much of today’s quantum narrative rests on work done quietly decades earlier. A great reminder that foundational ideas often precede recognition by a long time.,2026-01-04T07:05:28.000Z,1,https://x.com/ChrisKoucheki/status/2007709953168159135,https://x.com/Benioff/status/2007699154743759087,2007699154743759087,"A beautiful and well earned tribute to Paul Benioff, a quiet pioneer whose foundational work helped shape Quantum long before the world noticed. Worth reading for anyone looking into the history of Quantum. 
https://
quantumzeitgeist.substack.com/p/the-quiet-re
volutionary-how-paul
…",2026-01-04T06:22:34.000Z,11,22,112,28282,Marc Benioff,https://x.com/Benioff,2026-03-30T11:13:07.248Z,2026-01-04T06-22-34-000Z_2007699154743759087
https://x.com/Benioff/status/2007699154743759087,Barış Günher,https://x.com/BarGnher,"@Benioff

Hello, brief follow-up.
Urgent medical situation in my family. We are still short of $40,000.
Any guidance or support would be appreciated. Thank you.",2026-01-12T20:23:34.000Z,0,https://x.com/BarGnher/status/2010809903829458984,https://x.com/Benioff/status/2007699154743759087,2007699154743759087,"A beautiful and well earned tribute to Paul Benioff, a quiet pioneer whose foundational work helped shape Quantum long before the world noticed. Worth reading for anyone looking into the history of Quantum. 
https://
quantumzeitgeist.substack.com/p/the-quiet-re
volutionary-how-paul
…",2026-01-04T06:22:34.000Z,11,22,112,28282,Marc Benioff,https://x.com/Benioff,2026-03-30T11:13:07.248Z,2026-01-04T06-22-34-000Z_2007699154743759087
https://x.com/Benioff/status/2007699154743759087,AlphaOptimist,https://x.com/AlphaOptimist,"thanks for sharing, Marc.",2026-01-04T07:41:27.000Z,0,https://x.com/AlphaOptimist/status/2007719004895670699,https://x.com/Benioff/status/2007699154743759087,2007699154743759087,"A beautiful and well earned tribute to Paul Benioff, a quiet pioneer whose foundational work helped shape Quantum long before the world noticed. Worth reading for anyone looking into the history of Quantum. 
https://
quantumzeitgeist.substack.com/p/the-quiet-re
volutionary-how-paul
…",2026-01-04T06:22:34.000Z,11,22,112,28282,Marc Benioff,https://x.com/Benioff,2026-03-30T11:13:07.248Z,2026-01-04T06-22-34-000Z_2007699154743759087
https://x.com/Benioff/status/2007699154743759087,monkeywithshoes,https://x.com/mmuhlfelder,"Fascinating article and fascinating man. 
That’s a good fit for this arm of our industry- I am amazed every day by what I learn working with the team at 
@qbloxquantum",2026-01-05T03:16:41.000Z,0,https://x.com/mmuhlfelder/status/2008014762920272232,https://x.com/Benioff/status/2007699154743759087,2007699154743759087,"A beautiful and well earned tribute to Paul Benioff, a quiet pioneer whose foundational work helped shape Quantum long before the world noticed. Worth reading for anyone looking into the history of Quantum. 
https://
quantumzeitgeist.substack.com/p/the-quiet-re
volutionary-how-paul
…",2026-01-04T06:22:34.000Z,11,22,112,28282,Marc Benioff,https://x.com/Benioff,2026-03-30T11:13:07.248Z,2026-01-04T06-22-34-000Z_2007699154743759087
https://x.com/Benioff/status/2007699154743759087,Vini Kaulacross the globe 2026,https://x.com/vinikaul,"on my reading list for the morning! great share 
@Benioff",2026-01-05T02:40:40.000Z,0,https://x.com/vinikaul/status/2008005700757459049,https://x.com/Benioff/status/2007699154743759087,2007699154743759087,"A beautiful and well earned tribute to Paul Benioff, a quiet pioneer whose foundational work helped shape Quantum long before the world noticed. Worth reading for anyone looking into the history of Quantum. 
https://
quantumzeitgeist.substack.com/p/the-quiet-re
volutionary-how-paul
…",2026-01-04T06:22:34.000Z,11,22,112,28282,Marc Benioff,https://x.com/Benioff,2026-03-30T11:13:07.248Z,2026-01-04T06-22-34-000Z_2007699154743759087
https://x.com/Benioff/status/2010857324987236485,Robert Rizk,https://x.com/RobRizk1,"@Benioff
  Great to see 
@salesforce
 agents deployed at scale!

We are seeing great scale in adoption of agents 
@blackboxai
 coding agents have also crossed more 11T tokens and we are only getting started",2026-01-14T03:03:54.000Z,3,https://x.com/RobRizk1/status/2011273037963030978,https://x.com/Benioff/status/2010857324987236485,2010857324987236485,"Agentforce just hit 11.14 TRILLION tokens served - that's a real force of real agents! Real use & real adoption. Powering agents for sales, service, marketing, commerce, Tableau, & Slack across the enterprise. Mahalo to our Ohana for their epic velocity after only a year in service, and you're making the Agentic Era real!",2026-01-12T23:32:00.000Z,45,67,359,61403,Marc Benioff,https://x.com/Benioff,2026-03-30T11:12:53.683Z,2026-01-12T23-32-00-000Z_2010857324987236485
